"tissue_number","POP","Latitude","Longitude","distance","mean_annual_temp_deg_C","mean_temp__warmest_month_deg_C","mean_temp_coldest_month_deg_C","difference_coldest_and_warmest_month_measure_continentality_deg_C","mean_annual_precip_mm","mean_summer_precip_mm","annual_heat_moisture_index","summer_heat_moisture_index","degree.days_above_5_deg_C","degree.days_below_18_deg_C","degree.days_above_18_deg_C","NFFD","extreme_min_temp_over_30_years","Hargreave_reference_evaporation","Hargreave_climatic_moisture_index","percent_pine","percent_oak","percent_other"
"F11-088","E-O",34.039111,-119.572934,3665.500232,17,20.7,13.6,7.1,450,12,60,1677.8,4430,713,360,365,2.3,974,664,0,0.154537886492644,0.845462113507356
"F11-090","E-O",34.04115,-119.580566,3333.0979,17,20.8,13.6,7.2,456,12,59.2,1664.5,4440,708,365,365,2.4,972,661,0,0.169459654195599,0.830540345804402
"F11-093","E-O",34.040382,-119.581506,3211.905293,17,20.8,13.6,7.2,457,13,59.1,1660.6,4446,705,367,365,2.5,971,660,0,0.214647703120618,0.785352296879382
"F11-095","E-O",34.041118,-119.582969,3190.742878,17,20.8,13.6,7.2,458,13,59,1657.2,4447,705,367,365,2.5,971,659,0,0.191109215675692,0.808890784324308
"F09-105","E-O",33.99352,-119.640093,1808.054451,17.7,21.5,14.2,7.3,492,14,56.3,1511,4695,573,438,365,4,953,631,0,0.30374764644917,0.69625235355083
"F09-136","E-O",33.995836,-119.627912,785.7548394,17.8,21.6,14.2,7.4,497,14,55.9,1524.2,4714,566,445,365,4,951,631,0,0.651824676082825,0.348175323917174
"F11-071","E-O",34.01103,-119.651732,2655.959666,17.7,21.5,14.2,7.3,484,14,57.2,1537.8,4689,574,436,365,4.3,952,632,0,0.186551429098537,0.813448570901463
"F11-072","E-O",34.01103,-119.651732,2655.959666,17.7,21.5,14.2,7.3,484,14,57.2,1537.8,4689,574,436,365,4.3,952,632,0,0.186551429098537,0.813448570901463
"F11-142","E-O",33.995527,-119.63982,1672.700124,17.7,21.6,14.2,7.4,496,14,55.8,1503,4710,567,443,365,4.1,951,629,0,0.341966801207226,0.658033198792774
"F11-146","E-O",33.996535,-119.634039,1156.38104,17.8,21.6,14.3,7.3,498,14,55.8,1506.8,4718,564,446,365,4.1,950,629,0,0.351559979047193,0.648440020952807
"F11-147","E-O",33.998085,-119.642464,1769.985416,17.8,21.6,14.3,7.3,501,15,55.5,1478.4,4729,559,450,365,4.3,948,625,0,0.486611840546548,0.513388159453452
"F11-150","E-O",33.994408,-119.636928,1508.338391,17.7,21.6,14.2,7.4,494,14,56.1,1517.2,4702,570,441,365,4,952,630,0,0.370640780974865,0.629359219025135
"F11-003","W-O",34.045353,-119.820423,2858.505155,17.8,21.8,14.1,7.7,529,16,52.6,1368.9,4718,583,472,365,5,942,614,0,0.482802559299533,0.517197440700467
"F11-005","W-O",34.045489,-119.820374,2873.296692,17.8,21.8,14.1,7.7,529,16,52.6,1370.1,4716,584,471,365,5,942,614,0,0.484238578831374,0.515761421168626
"F11-006","W-O",34.045518,-119.821078,2881.516458,17.8,21.8,14.1,7.7,529,16,52.6,1370.2,4717,584,472,365,5,942,614,0,0.454464437300135,0.545535562699865
"F09-91","W-O",34.032472,-119.804621,1763.542189,17.8,21.9,14.2,7.7,531,16,52.4,1369,4741,570,475,365,5.2,931,604,0,0.439641336546046,0.560358663453954
"F09-100","W-O",34.003978,-119.757539,3406.818736,17.8,21.7,14.3,7.4,506,15,54.9,1434.3,4729,562,455,365,5,924,598,0,0.808798640987142,0.191201359012858
"F09-26","W-O",34.004695,-119.76252,2943.908924,17.8,21.7,14.3,7.4,508,15,54.7,1430.9,4732,561,457,365,5.1,924,599,0,0.777722513095514,0.222277486904486
"F09-39","W-O",34.008036,-119.755841,3457.713009,17.8,21.6,14.3,7.3,505,15,55,1430.2,4720,566,452,365,5,925,600,0,0.497362859214681,0.502637140785319
"F09-40","W-O",34.008036,-119.755841,3457.713009,17.8,21.6,14.3,7.3,505,15,55,1430.2,4720,566,452,365,5,925,600,0,0.497362859214681,0.502637140785319
"F09-53","W-O",34.008782,-119.759957,3069.087073,17.8,21.6,14.3,7.3,507,15,54.8,1426.4,4723,565,454,365,5,926,600,0,0.3874950350718,0.6125049649282
"F10-105","W-O",33.986673,-119.762964,4009.6246,17.5,21.3,14.1,7.2,483,14,56.9,1505.1,4629,604,419,365,4,940,619,0,0.463541074347433,0.536458925652567
"F10-106","W-O",33.980813,-119.760177,4665.715984,17.4,21.2,13.9,7.3,472,14,58.1,1548,4579,632,401,365,3.5,947,630,0,0.526466562480335,0.473533437519665
"F10-119","W-O",34.006459,-119.762664,2876.151172,17.8,21.7,14.3,7.4,508,15,54.7,1430.6,4729,563,456,365,5,925,599,0,0.585725822827294,0.414274177172706
"F10-120","W-O",34.006494,-119.762708,2871.197941,17.8,21.7,14.3,7.4,508,15,54.7,1430.5,4729,563,456,365,5,925,599,0,0.579947633790271,0.420052366209729
"F10-126","W-O",34.010877,-119.756983,3316.397407,17.8,21.6,14.2,7.4,506,15,54.9,1429.9,4716,568,451,365,4.9,926,601,0,0.399785581594024,0.600214418405976
"F10-170","W-O",34.005677,-119.759143,3212.880502,17.8,21.7,14.3,7.4,507,15,54.8,1433.4,4728,563,455,365,5,924,599,0,0.688528283347555,0.311471716652445
"F10-172","W-O",34.006286,-119.759898,3128.648948,17.8,21.7,14.3,7.4,507,15,54.8,1432.9,4727,563,455,365,5,925,599,0,0.624267826344377,0.375732173655623
"F10-175","W-O",34.006269,-119.759886,3130.14228,17.8,21.7,14.3,7.4,507,15,54.8,1432.9,4727,563,455,365,5,925,599,0,0.625743761233066,0.374256238766934
"F10-60","W-O",34.011873,-119.778839,1294.351831,17.8,21.7,14.2,7.5,516,15,53.9,1410.7,4738,563,463,365,5.1,926,600,0,0.690170520135327,0.309829479864673
"F11-007","W-O",34.038172,-119.773936,3148.2669,17.7,21.6,14.1,7.5,518,16,53.5,1387.9,4699,583,452,365,4.8,932,605,0,0.393493195326641,0.606506804673359
"F11-009","W-O",34.040095,-119.775374,3257.652103,17.7,21.6,14.1,7.5,520,16,53.3,1382.1,4700,583,453,365,4.8,932,605,0,0.378357756719135,0.621642243280865
"F11-018","W-O",34.008497,-119.769852,2176.839991,17.8,21.7,14.3,7.4,512,15,54.3,1423.3,4733,563,459,365,5.1,925,600,0,0.501669584824565,0.498330415175435
"F11-021","W-O",34.011888,-119.778558,1320.036704,17.8,21.7,14.2,7.5,516,15,53.9,1411,4737,563,463,365,5.1,926,600,0,0.693790305350629,0.306209694649371
"F11-050","W-O",34.003602,-119.759832,3217.923399,17.8,21.7,14.3,7.4,507,15,54.8,1432.7,4732,561,456,365,5.1,924,598,0,0.856337638092037,0.143662361907963
"F11-081","W-O",33.990023,-119.760724,3903.857949,17.6,21.4,14.1,7.3,489,14,56.4,1486.4,4656,593,428,365,4.3,935,614,0,0.542638051391836,0.457361948608164
"F11-085","W-O",34.001825,-119.76588,2776.189714,17.8,21.7,14.3,7.4,510,15,54.5,1429.4,4739,558,460,365,5.1,923,598,0,0.74406236985018,0.25593763014982
"F11-115","W-O",34.012874,-119.780809,1106.212678,17.8,21.7,14.2,7.5,518,15,53.7,1407.1,4739,563,464,365,5.2,926,600,0,0.569386621231739,0.430613378768261
"F11-154","W-O",34.01058,-119.756962,3320.784263,17.8,21.6,14.2,7.4,506,15,54.9,1429.9,4716,568,451,365,4.9,926,601,0,0.405380974162493,0.594619025837507
"F11-156","W-O",34.010704,-119.757897,3233.568158,17.8,21.6,14.2,7.4,506,15,54.9,1428.9,4717,568,452,365,4.9,926,601,0,0.45271991556987,0.547280084430129
"F09-111","W-O",34.021683,-119.868607,2230.747538,17.4,21.4,13.8,7.6,477,14,57.4,1516.1,4592,641,426,365,3.7,960,644,0,0.21441981005221,0.78558018994779
"F09-33","W-O",34.020065,-119.870339,2300.234356,17.4,21.4,13.8,7.6,474,14,57.8,1528.9,4585,645,424,365,3.6,960,645,0,0.295649980434867,0.704350019565133
"F09-36","W-O",34.015738,-119.856001,893.4390761,17.5,21.6,14,7.6,488,14,56.4,1498.3,4639,615,442,365,4.2,952,633,0,0.442931589176409,0.557068410823591
"F11-065","W-O",34.017561,-119.855932,991.4275509,17.5,21.6,14,7.6,489,14,56.2,1491.5,4640,614,443,365,4.2,952,633,0,0.26966225199394,0.730337748006059
"F10-149","W-O",33.97949,-119.75968,4805.806477,17.3,21.1,13.9,7.2,469,14,58.2,1552.4,4568,638,398,365,3.4,949,632,0,0.517554408381633,0.482445591618367
"F10-150","W-O",33.979499,-119.75968,4805.064003,17.3,21.1,13.9,7.2,469,14,58.2,1552.3,4568,638,398,365,3.4,949,632,0,0.517732404461414,0.482267595538586
"F10-152","W-O",33.979463,-119.759668,4808.704029,17.3,21.1,13.9,7.2,469,14,58.2,1552.6,4567,638,398,365,3.4,949,632,0,0.518341607833462,0.481658392166538
"F11-068","W-O",34.003907,-119.802111,460.6229197,17.8,21.8,14.2,7.6,515,15,54,1432.1,4745,562,469,365,5.2,928,604,0,0.495661327094647,0.504338672905353
"F10-82","W-O",34.001827,-119.801632,609.0547345,17.8,21.8,14.2,7.6,514,15,54.1,1436.7,4746,561,469,365,5.2,928,604,0,0.43509846216034,0.56490153783966
"F11-083","W-O",33.977311,-119.773201,4178.540678,17.3,21.1,13.9,7.2,468,13,58.3,1564.6,4553,647,393,365,3.2,950,634,0,0.423295323889734,0.576704676110266
"F09-11","C-O",33.974951,-119.72273,4952.424284,17.2,20.9,13.8,7.1,451,13,60.3,1623.7,4502,673,375,365,2.6,965,652,0,0.576394502648983,0.423605497351017
"F09-118","C-O",33.993609,-119.715459,2775.681608,17.6,21.4,14.2,7.2,473,14,58.4,1535,4657,588,427,365,4.1,952,634,0,0.350824299422695,0.649175700577305
"F09-119","C-O",33.994103,-119.71555,2726.162551,17.6,21.4,14.2,7.2,474,14,58.2,1531.4,4662,586,428,365,4.1,952,634,0,0.280278155893621,0.719721844106379
"F09-124","C-O",33.975653,-119.72718,5021.366671,17.2,20.9,13.8,7.1,453,13,60,1611,4512,668,378,365,2.7,963,650,0,0.408130494983653,0.591869505016347
"F09-45","C-O",33.973064,-119.72278,5153.502885,17.1,20.8,13.7,7.1,448,13,60.5,1631.4,4486,682,370,365,2.5,967,655,0,0.63767698534715,0.36232301465285
"F09-46","C-O",33.973191,-119.722762,5139.600492,17.1,20.8,13.7,7.1,448,13,60.5,1630.4,4487,682,370,365,2.5,966,655,0,0.641026489997488,0.358973510002512
"F09-48","C-O",33.973018,-119.722854,5160.48398,17.1,20.8,13.7,7.1,448,13,60.5,1631.7,4486,682,370,365,2.5,967,655,0,0.631458540463763,0.368541459536238
"F09-93","C-O",33.994961,-119.722018,2885.169859,17.6,21.5,14.2,7.3,479,14,57.6,1518.6,4673,581,433,365,4.3,947,628,0,0.395412179654157,0.604587820345843
"F09-96","C-O",33.973778,-119.725584,5161.468374,17.1,20.9,13.7,7.2,450,13,60.2,1629.1,4495,677,373,365,2.6,965,653,0,0.490228589061604,0.509771410938396
"F10-161","C-O",33.976258,-119.725533,4902.339933,17.2,20.9,13.8,7.1,453,13,60,1608.6,4516,666,380,365,2.8,963,650,0,0.467575730951904,0.532424269048096
