tissue_number,species,project,aluminum_band,color_band,color_ba_1,color_ba_2,sex,age,date_banded,year,plot,habitat,closest.pine,distance,POP,longitude_,latitude__,gps_certai,distance_t,pine_plot,pedigree_i,bled,blood_hema,blood_plas,blood_whol,feather_,slide,freezer_st,freezer__1,freezer__2,freezer__3,dry_storag,dry_stor_1,dry_stor_2,bill_depth,bill_lengt,bill_len_1,bill_width,mass,tarsus1,tarsus2,wing_left,wing_right,tail,notes,banders
F11-088,ISSJ,ISSJ,1783-24865,UGB,AO,"UGB,AO",M,AHY,10/24/2011,2011,SZ Off-plot,Oak,China,3665.500232,E-O,262474,3769479,Trap Setup,3666,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.51,34.34,25.58,8.89,128,47.02,NA,NA,138,157.5,PESOLA; WITH UB FEMALE; REMEMBERED PEANUTS FROM LAST YEAR; MIST NET,KL
F11-090,ISSJ,ISSJ,1713-24902,OGW,AO,"OGW,AO",M,AHY,10/26/2011,2011,SZ Off-plot,Oak,China,3333.0979,E-O,261775,3769723,Trap Setup,3333,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.17,33.29,24.74,9.23,120,45.89,NA,NA,140,161,PESOLA; MIST NET; PAIRED WITH RBW/AO,KL
F11-093,ISSJ,ISSJ,1703-24635,OBO,AO,"OBO,AO",M,AHY,10/26/2011,2011,SZ Off-plot,Oak,China,3211.905293,E-O,261686,3769640,Trap Setup,3212,NA,NA,Yes,No,No,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_12,NA,NA,NA,NA,NA,9.85,32.9,24.46,9.43,122,47.34,NA,NA,139.5,156.5,PESOLA; HAS UB FEMALE,KL
F11-095,ISSJ,ISSJ,1783-24868,WGU,AO,"WGU,AO",M,AHY,10/26/2011,2011,SZ Off-plot,Oak,China,3190.742878,E-O,261553,3769725,Trap Setup,3191,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.21,34.06,25.51,9.19,124,47.36,NA,NA,137,151,PESOLA; POSSIBLY TERRITORIAL MALE,KL
F09-105,ISSJ,ISSJ,1363-74583,UGU,AU,"UGU,AU",M,AHY,10/31/2009,2009,SZ Off-plot,Oak,China,1808.054451,E-O,256142,3764580,Trap Setup,1808,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.11,34,25,9.42,117.99,47.01,47.03,NA,137,149,LOWER MANDIBLE LONGER THAN UPPER,KL
F09-136,ISSJ,ISSJ,1583-92720,OOK,AU,"OOK,AU",?,AHY,11/13/2009,2009,SZ Off-plot,Oak,China,785.7548394,E-O,257274,3764808,Trap Setup,786,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.7,35.02,25.6,9.74,123.14,47.71,47.84,NA,143.5,156,NA,KL
F11-071,ISSJ,ISSJ,1783-24856,GPG,AU,"GPG,AU",?,AHY,10/13/2011,2011,SZ Off-plot,Oak,China,2655.959666,E-O,255117,3766550,Trap Setup,2656,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.06,34.21,26.29,9.02,125.96,48.32,NA,NA,141,163.5,SEEMED TO BE TERRITORIAL MALE,KL
F11-072,ISSJ,ISSJ,1783-24857,PRP,AU,"PRP,AU",?,AHY,10/13/2011,2011,SZ Off-plot,Oak,China,2655.959666,E-O,255117,3766550,Trap Setup,2656,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,9.75,35.09,26.15,9.15,120.44,47.69,NA,NA,136,158,NA,KL
F11-142,ISSJ,ISSJ,1783-24888,KOG,AU,"KOG,AU",M,AHY,11/28/2011,2011,SZ Off-plot,Oak,China,1672.700124,E-O,256173,3764802,Trap Setup,1673,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.07,34.35,26.2,8.8,121.93,47.9,NA,NA,140,161,WITH UB FEMALE,KL
F11-146,ISSJ,ISSJ,1783-24891,YYK,AU,"YYK,AU",M,AHY,11/29/2011,2011,SZ Off-plot,Oak,China,1156.38104,E-O,256710,3764900,Trap Setup,1156,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.23,35.12,26.23,8.79,114.06,47.68,NA,NA,138.5,155,PAIRED WITH RKW/AU,KL
