Gene_Name,Literature,GOTerm,Function
ALX1, Lamichhaney et al. (2015) ,,"Geospiza Associated with blunt bills. It encodes a pairedtypehomeodomain protein that plays a crucial role in development of structures derived from craniofacial mesenchyme, the first branchial arch and the limb bud"
BMP4,"Abzhanov et al. (2006, 2004)",,Bone morphogenic protein  Geospiza Differentially expressed in the developing bill of species with divergent bill morphologies
CALM," Lamichhaney et al. (2015) , Abzhanov et al. (2006, 2004)",,
Calm1 ,"Abzhanov et al. (2006, 2004)",, Calmodulin  
RDH14," Lamichhaney et al. (2015), Rowe et al. 1991 ",,
TGFbrII ,Mallarino et al. (2011),,Transforming growth factor beta receptor type 2
Dkk2 , Brugmann et al. (2010),,"Dickkopf Wnt signalling pathway inhibitor 2. Anas platyrhynchos, Gallus gallus, Coturnix spp. Expression of these Wnt signalling pathway. members is upregulated in species with broad bills and downregulated in those with narrow bills"
FZD1 , Brugmann et al. (2010),,"Frizzled?1 Anas platyrhynchos, Gallus gallus, Coturnix spp.. Expression of these Wnt signalling pathway. members is upregulated in species with broad bills and downregulated in those with narrow bills"
FGF8," Abzhanov and Tabin (2004), Wu, Jiang, Suksaweang, Widelitz, and Chuong (2004)",,"Fibroblast growth factor 8. Anas platyrhynchos, Gallus gallus, Geospiza, FGF8 interacts with other proteins in the frontonasalectoderm, including Shh, to induce expression of BMP4 at the proper domain on the developing bill"
Shh ," Abzhanov and Tabin (2004), Wu, Jiang, Suksaweang, Widelitz, and Chuong (2004)",,Sonic hedgehog
FGF19 ,"Haworth et al., 2007; Kumar,Ray, & Chapman, 2012",,"Fibroblast growth factor 19, Gallus gallus. Strong expression in pharyngeal endoderm"
FOXC1,"Sommer et al. 2006, Lamichhaney et al. 2015",,
FGF10,"Lamichhaney et al. (2015), Brugmann et al. 2010",,
 CTNNB1,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 DLG1,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 DLX2,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 DSCAML1,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 EIF4A3,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 EYA1,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 FGFR2,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 FLVCR1,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 FOXC2,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 FUZ,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 GLI3,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 GNAS,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 GRHL2,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 GSC,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXA1,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXA11,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXA2,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXA3,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXA5,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXA6,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXA7,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXB1,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXB2,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXB3,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXB4,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXB5,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXB6,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXB7,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXB8,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXC11,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXC9,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXD10,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXD11,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXD3,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXD4,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HOXD9,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HSPG2,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 HYAL1,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 IRX5,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 LHX1,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 MDFI,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 MED12,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 MEF2C,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 MEGF8,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 MMP14,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 MMP16,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 MTHFD1,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 MTHFD1L,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 MYF5,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 NDST1,Bosse et al. 2017,embryonic skeletal system morphogenesis,
 NIPBL,Bosse et al. 2017,embryonic skeletal system morphogenesis,
