"chromosome_name","start_position","end_position","ensembl_gene_id","entrezgene_id","gene_biotype","entrezgene_accession","entrezgene_description","go_id","name_1006","definition_1006"
"27",310832,324625,"ENSTGUG00000022764",100189951,"protein_coding","LIMD2","LIM domain containing 2","GO:0046872","metal ion binding","Interacting selectively and non-covalently with any metal ion."
"27",310832,324625,"ENSTGUG00000022764",100189951,"protein_coding","LIMD2","LIM domain containing 2","GO:0005654","nucleoplasm","That part of the nuclear content other than the chromosomes or the nucleolus."
"27",310832,324625,"ENSTGUG00000022764",100189951,"protein_coding","LIMD2","LIM domain containing 2","GO:0005829","cytosol","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0002084","protein depalmitoylation","The removal of palymitoyl groups from a lipoprotein."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0008474","palmitoyl-(protein) hydrolase activity","Catalysis of the reaction: palmitoyl-protein + H2O = palmitate + protein."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0098599","palmitoyl hydrolase activity","Catalysis of a hydrolase reaction that removes a palmitoyl moiety from some substrate."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0016787","hydrolase activity","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0098793","presynapse","The part of a synapse that is part of the presynaptic cell."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0007040","lysosome organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a lysosome. A lysosome is a cytoplasmic, membrane-bounded organelle that is found in most animal cells and that contains a variety of hydrolases."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0007269","neurotransmitter secretion","The regulated release of neurotransmitter from the presynapse into the synaptic cleft via calcium-regulated exocytosis during synaptic transmission."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0007601","visual perception","The series of events required for an organism to receive a visual stimulus, convert it to a molecular signal, and recognize and characterize the signal. Visual stimuli are detected in the form of photons and are processed to form an image."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0007625","grooming behavior","The specific behavior of an organism relating to grooming, cleaning and brushing to remove dirt and parasites."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0008306","associative learning","Learning by associating a stimulus (the cause) with a particular outcome (the effect)."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0008344","adult locomotory behavior","Locomotory behavior in a fully developed and mature organism."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0032429","regulation of phospholipase A2 activity","Any process that modulates the activity of the enzyme phospholipase A2."
"23",2804902,2808985,"ENSTGUG00000001213",100190233,"protein_coding","PPT1","palmitoyl-protein thioesterase 1","GO:0044257","cellular protein catabolic process","The chemical reactions and pathways resulting in the breakdown of a protein by individual cells."
