"chromosome_name","start_position","end_position","ensembl_gene_id","entrezgene_id","gene_biotype","entrezgene_accession","entrezgene_description","go_id","name_1006","definition_1006"
"14",3197562,3200899,"ENSTGUG00000008205",100190161,"protein_coding","PSMG3","proteasome assembly chaperone 3","GO:0000502","proteasome complex","A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that act in regulating entry into or exit from the core."
"14",3197562,3200899,"ENSTGUG00000008205",100190161,"protein_coding","PSMG3","proteasome assembly chaperone 3","GO:0044877","protein-containing complex binding","Interacting selectively and non-covalently with a macromolecular complex."
"14",3197562,3200899,"ENSTGUG00000008205",100190161,"protein_coding","PSMG3","proteasome assembly chaperone 3","GO:0060090","molecular adaptor activity","The binding activity of a molecule that brings together two or more molecules through a selective, non-covalent, often stoichiometric interaction, permitting those molecules to function in a coordinated way."
"14",3197562,3200899,"ENSTGUG00000008205",100190161,"protein_coding","PSMG3","proteasome assembly chaperone 3","GO:0051131","chaperone-mediated protein complex assembly","The aggregation, arrangement and bonding together of a set of components to form a protein complex, mediated by chaperone molecules that do not form part of the finished complex."
"14",3197562,3200899,"ENSTGUG00000008205",100190161,"protein_coding","PSMG3","proteasome assembly chaperone 3","GO:0032991","protein-containing complex","A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."
"14",3197562,3200899,"ENSTGUG00000008205",100190161,"protein_coding","PSMG3","proteasome assembly chaperone 3","","",""
"23",4166219,4176536,"ENSTGUG00000000890",100190271,"protein_coding","DNAJC8","DnaJ heat shock protein family (Hsp40) member C8","GO:0030544","Hsp70 protein binding","Interacting selectively and non-covalently with Hsp70 proteins, any of a group of heat shock proteins around 70kDa in size."
"23",4166219,4176536,"ENSTGUG00000000890",100190271,"protein_coding","DNAJC8","DnaJ heat shock protein family (Hsp40) member C8","GO:0005634","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"23",4166219,4176536,"ENSTGUG00000000890",100190271,"protein_coding","DNAJC8","DnaJ heat shock protein family (Hsp40) member C8","GO:0005654","nucleoplasm","That part of the nuclear content other than the chromosomes or the nucleolus."
"23",4166219,4176536,"ENSTGUG00000000890",100190271,"protein_coding","DNAJC8","DnaJ heat shock protein family (Hsp40) member C8","GO:0005829","cytosol","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
